[System] Initialized kmsg stream.
[IDT] Initializing IDT
[IDT] Setting IDT gate for interrupt 72. Base: 2147500628, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 73. Base: 2147500638, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 74. Base: 2147500648, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 75. Base: 2147500658, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 76. Base: 2147500668, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 77. Base: 2147500678, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 78. Base: 2147500688, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 79. Base: 2147500698, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 80. Base: 2147500708, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 81. Base: 2147500718, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 82. Base: 2147500728, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 83. Base: 2147500738, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 84. Base: 2147500748, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 85. Base: 2147500758, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 86. Base: 2147500768, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 87. Base: 2147500778, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 88. Base: 2147500788, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 89. Base: 2147500798, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 90. Base: 2147500808, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 91. Base: 2147500818, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 92. Base: 2147500828, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 93. Base: 2147500838, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 94. Base: 2147500848, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 95. Base: 2147500858, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 96. Base: 2147500868, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 97. Base: 2147500878, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 98. Base: 2147500888, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 99. Base: 2147500898, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 100. Base: 2147500908, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 101. Base: 2147500918, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 102. Base: 2147500928, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 103. Base: 2147500938, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 104. Base: 2147500948, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 105. Base: 2147500958, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 106. Base: 2147500968, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 107. Base: 2147500978, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 108. Base: 2147500988, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 109. Base: 2147500998, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 110. Base: 2147501008, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 111. Base: 2147501018, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 112. Base: 2147501028, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 113. Base: 2147501038, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 114. Base: 2147501048, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 115. Base: 2147501058, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 116. Base: 2147501068, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 117. Base: 2147501078, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 118. Base: 2147501088, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 119. Base: 2147501098, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 120. Base: 2147501108, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 121. Base: 2147501118, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 122. Base: 2147501128, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 123. Base: 2147501138, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 124. Base: 2147501148, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 125. Base: 2147501158, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 126. Base: 2147501168, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 127. Base: 2147501178, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 128. Base: 2147501188, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 129. Base: 2147501201, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 130. Base: 2147501214, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 131. Base: 2147501227, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 132. Base: 2147501240, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 133. Base: 2147501253, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 134. Base: 2147501266, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 135. Base: 2147501279, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 136. Base: 2147501292, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 137. Base: 2147501305, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 138. Base: 2147501318, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 139. Base: 2147501331, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 140. Base: 2147501344, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 141. Base: 2147501357, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 142. Base: 2147501370, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 143. Base: 2147501383, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 144. Base: 2147501396, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 145. Base: 2147501409, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 146. Base: 2147501422, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 147. Base: 2147501435, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 148. Base: 2147501448, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 149. Base: 2147501461, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 150. Base: 2147501474, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 151. Base: 2147501487, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 152. Base: 2147501500, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 153. Base: 2147501513, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 154. Base: 2147501526, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 155. Base: 2147501539, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 156. Base: 2147501552, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 157. Base: 2147501565, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 158. Base: 2147501578, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 159. Base: 2147501591, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 160. Base: 2147501604, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 161. Base: 2147501617, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 162. Base: 2147501630, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 163. Base: 2147501643, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 164. Base: 2147501656, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 165. Base: 2147501669, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 166. Base: 2147501682, Sel: 40, Flags: 142
[IDT] Setting IDT gate for interrupt 167. Base: 2147501695, Sel: 40, Flags: 142
